margin_rate,churn_penalty,review_cost,review_catch_rate,t_profit_single,t_review,t_decline,val_reviews_per_day,nb1000_profit_three_way,nb1000_profit_single,nb1000_youden_single,nb1000_rules,decline_rate_val_at_t_profit
0.005,10.0,5.0,0.98,0.002736819419513731,0.002670572117340065,0.003252757229545643,28.334789451245598,2970.0940047527097,2923.1334072205077,2870.653309174654,636.1405062598074,0.0940495140041318
0.005,10.0,10.0,0.5,0.002736819419513731,0.002670572117340065,0.002670572117340065,0.0,2910.801870209185,2923.1334072205077,2870.653309174654,636.1405062598074,0.0940495140041318
0.005,10.0,10.0,0.65,0.002736819419513731,0.002670572117340065,0.002670572117340065,0.0,2910.801870209185,2923.1334072205077,2870.653309174654,636.1405062598074,0.0940495140041318
0.005,10.0,10.0,0.8,0.002736819419513731,0.002670572117340065,0.002670572117340065,0.0,2910.801870209185,2923.1334072205077,2870.653309174654,636.1405062598074,0.0940495140041318
0.005,10.0,10.0,0.85,0.002736819419513731,0.002670572117340065,0.002670572117340065,0.0,2910.801870209185,2923.1334072205077,2870.653309174654,636.1405062598074,0.0940495140041318
0.005,10.0,10.0,0.95,0.002736819419513731,0.002670572117340065,0.002670572117340065,0.0,2910.801870209185,2923.1334072205077,2870.653309174654,636.1405062598074,0.0940495140041318
0.005,10.0,10.0,0.98,0.002736819419513731,0.002670572117340065,0.003252757229545643,28.334789451245598,2911.560007620142,2923.1334072205077,2870.653309174654,636.1405062598074,0.0940495140041318
0.005,10.0,20.0,0.5,0.002736819419513731,0.002670572117340065,0.002670572117340065,0.0,2910.801870209185,2923.1334072205077,2870.653309174654,636.1405062598074,0.0940495140041318
0.005,10.0,20.0,0.65,0.002736819419513731,0.002670572117340065,0.002670572117340065,0.0,2910.801870209185,2923.1334072205077,2870.653309174654,636.1405062598074,0.0940495140041318
0.005,10.0,20.0,0.8,0.002736819419513731,0.002670572117340065,0.002670572117340065,0.0,2910.801870209185,2923.1334072205077,2870.653309174654,636.1405062598074,0.0940495140041318
0.005,10.0,20.0,0.85,0.002736819419513731,0.002670572117340065,0.002670572117340065,0.0,2910.801870209185,2923.1334072205077,2870.653309174654,636.1405062598074,0.0940495140041318
0.005,10.0,20.0,0.95,0.002736819419513731,0.002670572117340065,0.002670572117340065,0.0,2910.801870209185,2923.1334072205077,2870.653309174654,636.1405062598074,0.0940495140041318
0.005,10.0,20.0,0.98,0.002736819419513731,0.002670572117340065,0.002670572117340065,0.0,2910.801870209185,2923.1334072205077,2870.653309174654,636.1405062598074,0.0940495140041318
0.005,25.0,1.0,0.5,0.007400600268116356,0.0064572853089166935,0.010154211261669557,34.224605236055076,2396.493813402416,2232.4254261071724,972.3907020692928,109.84254168501147,0.05503437531750601
0.005,25.0,1.0,0.65,0.007400600268116356,0.007298659731705749,0.011478311826033219,32.28255786917195,2429.806932750809,2232.4254261071724,972.3907020692928,109.84254168501147,0.05503437531750601
